place_name,category_name,address_name,place_url,분류
서촌계단집,"음식점 > 한식 > 해물,생선",서울 종로구 내자동 11-1,http://place.map.kakao.com/19156993,음식점
동해루,음식점 > 중식 > 중국요리,서울 종로구 장사동 130-1,http://place.map.kakao.com/8945925,음식점
돈화문닭한마리,"음식점 > 한식 > 육류,고기 > 닭요리",서울 종로구 돈의동 95,http://place.map.kakao.com/27179188,음식점
VIP참치 종로점,음식점 > 일식 > 참치회,서울 종로구 관철동 11-13,http://place.map.kakao.com/149543887,음식점
화통본가,"음식점 > 한식 > 육류,고기",서울 종로구 종로3가 123-3,http://place.map.kakao.com/24049545,음식점
뎁짜이,음식점 > 아시아음식 > 동남아음식 > 베트남음식,서울 종로구 명륜4가 170-2,http://place.map.kakao.com/916333750,음식점
제이히든하우스,음식점 > 카페,서울 종로구 종로6가 94,http://place.map.kakao.com/1182434312,카페
늘솜김밥 종로본점,음식점 > 분식,서울 종로구 관철동 19-19,http://place.map.kakao.com/1725208370,음식점
솔트24 동숭동본점,"음식점 > 간식 > 제과,베이커리",서울 종로구 동숭동 187-11,http://place.map.kakao.com/1311931370,음식점
홍성원 본점,음식점 > 중식,서울 종로구 견지동 110,http://place.map.kakao.com/26871968,음식점
광화문한옥집,음식점 > 한식,서울 종로구 내수동 1,http://place.map.kakao.com/152172304,음식점
고기꾼 김춘배 종로직영점,"음식점 > 한식 > 육류,고기",서울 종로구 관철동 12-23,http://place.map.kakao.com/984317343,음식점
광주집,"음식점 > 한식 > 육류,고기",서울 종로구 돈의동 8,http://place.map.kakao.com/8229628,음식점
오죽이네,"음식점 > 한식 > 육류,고기 > 닭요리",서울 종로구 익선동 156,http://place.map.kakao.com/16734831,음식점
커피한잔,음식점 > 카페 > 커피전문점,서울 종로구 필운동 130-11,http://place.map.kakao.com/11831528,카페
순대실록 대학로본점,음식점 > 한식 > 순대,서울 종로구 동숭동 1-41,http://place.map.kakao.com/22961938,음식점
청와대 본관,"여행 > 관광,명소",서울 종로구 세종로 1,http://place.map.kakao.com/1917455244,관광명소
경복궁,"여행 > 관광,명소 > 문화유적 > 고궁,궁",서울 종로구 세종로 1-1,http://place.map.kakao.com/18619553,관광명소
창덕궁,"여행 > 관광,명소 > 문화유적 > 고궁,궁",서울 종로구 와룡동 2-71,http://place.map.kakao.com/10771162,관광명소
창경궁,"여행 > 관광,명소 > 문화유적 > 고궁,궁",서울 종로구 와룡동 2-1,http://place.map.kakao.com/11156260,관광명소
종묘,"여행 > 관광,명소 > 문화유적 > 사당,제단",서울 종로구 훈정동 1-2,http://place.map.kakao.com/8075129,관광명소
광화문,"여행 > 관광,명소 > 문화유적 > 문",서울 종로구 세종로 1-1,http://place.map.kakao.com/8234642,관광명소
광화문광장,"여행 > 관광,명소 > 광장",서울 종로구 세종로 1-68,http://place.map.kakao.com/8193961,관광명소
북촌한옥마을,"여행 > 관광,명소",서울 종로구 가회동 30-2,http://place.map.kakao.com/781129546,관광명소
청계천,"여행 > 관광,명소 > 하천",서울 종로구 서린동 148,http://place.map.kakao.com/10849847,관광명소
쌈지길,"여행 > 관광,명소",서울 종로구 관훈동 38,http://place.map.kakao.com/7984319,관광명소
인왕산,"여행 > 관광,명소 > 산",서울 종로구 옥인동 산 3-39,http://place.map.kakao.com/10740679,관광명소
흥인지문,"여행 > 관광,명소 > 문화유적 > 문",서울 종로구 종로6가 69,http://place.map.kakao.com/8638884,관광명소
북한산둘레길 6구간평창마을길,"여행 > 관광,명소 > 도보여행 > 둘레길 > 북한산둘레길",서울 종로구 평창동,http://place.map.kakao.com/12544579,관광명소
돈의문박물관마을,"여행 > 관광,명소",서울 종로구 신문로2가 7-22,http://place.map.kakao.com/219411423,관광명소
청와대 사랑채,"여행 > 관광,명소",서울 종로구 효자동 150,http://place.map.kakao.com/8167380,관광명소
북악스카이웨이,"여행 > 관광,명소 > 드라이브코스",서울 종로구 평창동 산 6-94,http://place.map.kakao.com/7904649,관광명소
석파정,"여행 > 관광,명소 > 문화유적",서울 종로구 부암동 산 16-1,http://place.map.kakao.com/11141124,관광명소
경희궁,"여행 > 관광,명소 > 문화유적 > 고궁,궁",서울 종로구 신문로2가 2-1,http://place.map.kakao.com/10166255,관광명소
서촌한옥마을,"여행 > 관광,명소",서울 종로구 통의동,http://place.map.kakao.com/18937478,관광명소
다이나믹메이즈 서울인사동점,"여행 > 관광,명소 > 테마파크",서울 종로구 인사동 43,http://place.map.kakao.com/27215154,관광명소
창덕궁 후원,"여행 > 관광,명소 > 문화유적 > 고궁,궁",서울 종로구 와룡동 2-71,http://place.map.kakao.com/7813428,관광명소
운현궁,"여행 > 관광,명소 > 문화유적 > 고궁,궁",서울 종로구 운니동 114-10,http://place.map.kakao.com/8465462,관광명소
인왕산 수성동계곡,"여행 > 관광,명소 > 계곡",서울 종로구 옥인동 179-1,http://place.map.kakao.com/17990926,관광명소
이화동 벽화마을,"여행 > 관광,명소",서울 종로구 이화동 9-413,http://place.map.kakao.com/25039734,관광명소
백사실계곡,"여행 > 관광,명소 > 계곡",서울 종로구 부암동 115,http://place.map.kakao.com/7891659,관광명소
청와대 춘추문,"여행 > 관광,명소 > 문화유적 > 문",서울 종로구 세종로 1-52,http://place.map.kakao.com/1855872490,관광명소
북악산,"여행 > 관광,명소 > 산",서울 종로구 삼청동 산 2-27,http://place.map.kakao.com/8342732,관광명소
